ticker,company_name,statement,fiscal_year_end,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledDepreciation,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,InterestIncome,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,PreferredStockDividends,NetIncome,MinorityInterests,NetIncomeIncludingNoncontrollingInterests,NetIncomeDiscontinuousOperations,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,OtherNonOperatingIncomeExpenses,SpecialIncomeCharges,OtherSpecialCharges,WriteOff,RestructuringAndMergernAcquisition,NetNonOperatingInterestIncomeExpense,TotalOtherFinanceCost,InterestExpenseNonOperating,InterestIncomeNonOperating,OperatingIncome,OperatingExpense,OtherOperatingExpenses,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,RentAndLandingFees,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,Amortization,ResearchAndDevelopment,SellingGeneralAndAdministration,SellingAndMarketingExpense,GeneralAndAdministrativeExpense,OtherIncomeExpense,GainOnSaleOfBusiness,EarningsFromEquityInterest,GainOnSaleOfSecurity,ImpairmentOfCapitalAssets,NetPolicyholderBenefitsAndClaims,InsuranceAndClaims,AverageDilutionEarnings,GainOnSaleOfPPE,SecuritiesAmortization,OtherTaxes,ProvisionForDoubtfulAccounts,DepreciationAmortizationDepletionIncomeStatement,SalariesAndWages,EarningsFromEquityInterestNetOfTax,AmortizationOfIntangiblesIncomeStatement,OtherGandA,NetIncomeExtraordinary,ExciseTaxes
ORA.PA,Orange,income_statement,2024-12-31,-218861447.270931,0.334651,13948000000.0,-654000000.0,-654000000.0,2143000000.0,7933000000.0,16649000000.0,13294000000.0,5361000000.0,-953000000.0,1312000000.0,71000000.0,2578138552.729069,2350000000.0,34233000000.0,100000000.0,5116000000.0,2659826500.0,2658606474.0,0.82,0.82,2173000000.0,2173000000.0,177000000.0,,2350000000.0,-552000000.0,2902000000.0,207000000.0,2695000000.0,1355000000.0,4049000000.0,18000000.0,-288000000.0,75000000.0,,151000000.0,-953000000.0,-288000000.0,1312000000.0,71000000.0,6026000000.0,17584000000.0,2067000000.0,7891000000.0,5897000000.0,,23610000000.0,16649000000.0,40259000000.0,40259000000.0,1994000000.0,,-8458000000.0,,-8458000000.0,,,,,62000000.0,,,0.0,,,,,,,,,,,
ORA.PA,Orange,income_statement,2023-12-31,-132575757.575758,0.245511,14241000000.0,-540000000.0,-540000000.0,2237000000.0,8834000000.0,16762000000.0,13701000000.0,4867000000.0,-981000000.0,1303000000.0,155000000.0,2644424242.424242,2440000000.0,34528000000.0,111000000.0,4731000000.0,2660521198.0,2659184216.0,0.85,0.85,2265000000.0,2265000000.0,175000000.0,,2440000000.0,-451000000.0,2892000000.0,203000000.0,2688000000.0,875000000.0,3564000000.0,16000000.0,-539000000.0,-50000000.0,,473000000.0,-981000000.0,-167000000.0,1303000000.0,155000000.0,5149000000.0,17766000000.0,1928000000.0,7747000000.0,5786000000.0,,22915000000.0,16762000000.0,39677000000.0,39677000000.0,1961000000.0,,9018000000.0,,9018000000.0,-581000000.0,,-29000000.0,-51000000.0,116000000.0,,,0.0,91000000.0,,1747000000.0,218000000.0,8963000000.0,9018000000.0,,,,,
ORA.PA,Orange,income_statement,2022-12-31,-304507850.707851,0.337967,13412000000.0,-84000000.0,-901000000.0,2101000000.0,8542000000.0,16164000000.0,13328000000.0,4786000000.0,-683000000.0,901000000.0,124000000.0,3514492149.292149,2146000000.0,33552000000.0,134000000.0,4789000000.0,2686831119.0,2658328369.0,0.73,0.73,1957000000.0,1946000000.0,200000000.0,,2146000000.0,-471000000.0,2617000000.0,45000000.0,2572000000.0,1313000000.0,3885000000.0,12000000.0,-975000000.0,-109000000.0,,157000000.0,-683000000.0,-94000000.0,901000000.0,124000000.0,5576000000.0,17388000000.0,1926000000.0,7372000000.0,5404000000.0,,22964000000.0,16164000000.0,39128000000.0,39128000000.0,1968000000.0,,8920000000.0,,8920000000.0,-997000000.0,,-2000000.0,-46000000.0,110000000.0,,,12000000.0,159000000.0,107000000.0,1834000000.0,206000000.0,8649000000.0,8920000000.0,,,,,
ORA.PA,Orange,income_statement,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1731000000.0,,3000000.0,2500000000.0,,,,,52000000.0,84000000.0,1882000000.0,213000000.0,8639000000.0,9917000000.0,,,,,
RI.PA,Pernod Ricard,income_statement,2025-06-30,-51480000.0,0.26,3386000000.0,-198000000.0,-198000000.0,1626000000.0,422000000.0,4443000000.0,3188000000.0,2766000000.0,-461000000.0,515000000.0,92000000.0,1772520000.0,1626000000.0,8018000000.0,,2743000000.0,252011273.0,251515214.0,6.45,6.47,1626000000.0,1626000000.0,0.0,,1626000000.0,-48000000.0,1674000000.0,0.0,1674000000.0,574000000.0,2251000000.0,,-198000000.0,20000000.0,,136000000.0,-461000000.0,38000000.0,515000000.0,92000000.0,2941000000.0,3575000000.0,1896000000.0,,,,6516000000.0,4443000000.0,10959000000.0,10959000000.0,,,1679000000.0,1679000000.0,,,,,,42000000.0,,,,,,,,,,,,,,
RI.PA,Pernod Ricard,income_statement,2024-06-30,-126720000.0,0.33,3572000000.0,-384000000.0,-384000000.0,1476000000.0,441000000.0,4623000000.0,3188000000.0,2747000000.0,-419000000.0,458000000.0,68000000.0,1733280000.0,1476000000.0,8489000000.0,,2724000000.0,253188307.0,252595588.0,5.83,5.84,1476000000.0,1476000000.0,0.0,,1476000000.0,-38000000.0,1514000000.0,0.0,1516000000.0,766000000.0,2289000000.0,,-384000000.0,-257000000.0,,142000000.0,-419000000.0,29000000.0,458000000.0,68000000.0,3109000000.0,3866000000.0,1994000000.0,,,,6975000000.0,4623000000.0,11598000000.0,11598000000.0,,,1872000000.0,1872000000.0,,,,,,499000000.0,,,,,,,,,,,,,,
RI.PA,Pernod Ricard,income_statement,2023-06-30,-12100000.0,0.22,3689000000.0,-55000000.0,-55000000.0,2262000000.0,417000000.0,4891000000.0,3634000000.0,3217000000.0,-297000000.0,279000000.0,7000000.0,2304900000.0,2262000000.0,8817000000.0,,3265000000.0,256878253.0,256048280.0,8.81,8.84,2262000000.0,2262000000.0,0.0,,2262000000.0,-21000000.0,2283000000.0,0.0,2283000000.0,651000000.0,2938000000.0,,-55000000.0,-143000000.0,,163000000.0,-297000000.0,25000000.0,279000000.0,7000000.0,3320000000.0,3926000000.0,1987000000.0,,,,7246000000.0,4891000000.0,12137000000.0,12137000000.0,,,1939000000.0,1939000000.0,,,,,,35000000.0,,,,,,,,,,,,,,
RI.PA,Pernod Ricard,income_statement,2022-06-30,-14500000.0,0.25,3390000000.0,-58000000.0,-58000000.0,1996000000.0,381000000.0,4228000000.0,3332000000.0,2951000000.0,-238000000.0,248000000.0,48000000.0,2039500000.0,1996000000.0,7682000000.0,,2963000000.0,259719441.0,259031734.0,7.69,7.71,1996000000.0,1996000000.0,0.0,,1996000000.0,-35000000.0,2031000000.0,0.0,2032000000.0,676000000.0,2703000000.0,-5000000.0,-58000000.0,25000000.0,,23000000.0,-238000000.0,38000000.0,248000000.0,48000000.0,3019000000.0,3454000000.0,1756000000.0,,,,6473000000.0,4228000000.0,10701000000.0,10701000000.0,,,1698000000.0,1698000000.0,,,,,,10000000.0,,,,,,,,,,,,,,
PUB.PA,Publicis,income_statement,2025-12-31,-52459000.0,0.251,3380000000.0,-209000000.0,-209000000.0,1653000000.0,732000000.0,,3171000000.0,2439000000.0,-123000000.0,201000000.0,87000000.0,1809541000.0,1653000000.0,14812000000.0,,2394000000.0,253343182.0,251135472.0,6.52,6.58,1653000000.0,1653000000.0,0.0,,1653000000.0,-8000000.0,1661000000.0,,1661000000.0,577000000.0,2238000000.0,-5000000.0,-252000000.0,5000000.0,37000000.0,210000000.0,-123000000.0,9000000.0,201000000.0,87000000.0,2587000000.0,14812000000.0,4641000000.0,732000000.0,451000000.0,,,,17399000000.0,17399000000.0,281000000.0,,,,,,,,,37000000.0,,,0.0,,,,,,,,,,,
PUB.PA,Publicis,income_statement,2024-12-31,-36853000.0,0.269,3286000000.0,-133000000.0,-137000000.0,1660000000.0,729000000.0,,3153000000.0,2424000000.0,-79000000.0,206000000.0,135000000.0,1764147000.0,1660000000.0,13609000000.0,,2214000000.0,253565798.0,250677462.0,6.55,6.62,1660000000.0,1660000000.0,0.0,,1660000000.0,-9000000.0,1669000000.0,,1669000000.0,549000000.0,2218000000.0,14000000.0,-186000000.0,-1000000.0,86000000.0,101000000.0,-79000000.0,8000000.0,206000000.0,135000000.0,2421000000.0,13609000000.0,3792000000.0,729000000.0,441000000.0,,,,16030000000.0,16030000000.0,288000000.0,,,,,,,,,82000000.0,,,0.0,,,,,,,,,,,
